attendance_percentage,absence_streak,late_count,attendance_trend,classes_attended,classes_missed,quiz_average,assignment_average,learning_minutes,course_completion,previous_exam_score,recent_score_trend,risk_label,predicted_performance,engagement_level,is_anomaly
74.8,0,6,-0.479,43,15,80.8,68.2,386.2,70.3,77.8,-0.003,LOW,74.1,MEDIUM,1
78.0,0,2,-0.005,34,10,63.8,64.8,443.2,65.8,53.6,-0.071,LOW,59.7,HIGH,1
96.2,1,3,-0.222,53,2,98.0,86.6,391.6,78.0,100.0,-0.247,LOW,96.2,HIGH,1
81.0,0,3,0.098,40,9,98.0,80.9,10.0,81.1,75.9,-0.089,LOW,77.5,HIGH,-1
66.0,1,4,-0.534,34,17,90.4,62.1,311.1,55.1,80.7,0.024,MEDIUM,67.8,MEDIUM,1
49.9,6,2,-0.296,29,30,55.4,56.9,296.6,60.6,52.4,0.183,HIGH,51.0,MEDIUM,1
79.0,1,2,0.226,41,11,69.2,77.3,359.8,77.4,67.3,0.147,LOW,69.3,HIGH,1
94.4,0,1,0.139,52,3,77.9,79.8,341.0,84.4,84.5,0.084,LOW,77.7,HIGH,1
63.4,0,1,-0.411,25,15,55.9,77.9,287.9,70.9,67.5,-0.005,MEDIUM,66.9,MEDIUM,1
71.8,0,1,-0.003,34,14,77.6,65.0,401.8,70.4,80.5,0.211,LOW,75.2,MEDIUM,1
79.6,0,4,0.776,44,11,66.6,81.2,349.6,89.3,67.2,0.154,LOW,73.1,HIGH,1
71.8,0,1,0.365,42,16,67.7,70.2,346.4,71.7,68.1,0.283,LOW,69.5,HIGH,1
89.2,0,2,0.03,48,6,85.3,91.0,432.0,85.9,88.6,0.148,LOW,94.2,HIGH,1
84.4,0,2,0.153,48,9,98.0,81.4,389.4,81.8,89.6,0.576,LOW,87.3,MEDIUM,1
60.5,2,3,-0.115,31,20,57.2,53.4,349.6,57.7,61.4,-0.087,MEDIUM,63.8,MEDIUM,1
80.8,0,4,-0.129,43,10,68.9,66.2,369.4,64.3,65.0,0.091,MEDIUM,67.9,HIGH,1
87.4,0,1,0.101,37,5,71.4,69.3,426.1,81.9,63.1,0.693,LOW,71.2,HIGH,1
75.1,0,1,-0.222,32,11,78.0,71.4,369.5,58.3,78.9,-0.065,LOW,75.0,MEDIUM,1
60.7,2,3,-0.548,27,18,59.6,64.1,294.4,62.0,52.7,0.395,MEDIUM,64.0,MEDIUM,1
91.4,8,4,-0.95,50,5,70.0,82.3,358.1,79.2,89.0,-0.023,LOW,82.3,HIGH,-1
64.3,1,0,0.052,33,19,68.4,83.2,345.6,62.2,71.7,0.002,LOW,70.1,MEDIUM,1
68.8,0,1,0.096,35,16,76.4,76.9,320.5,82.2,74.1,-0.001,LOW,74.2,HIGH,1
83.5,0,2,0.079,43,8,70.9,75.6,349.2,76.8,74.7,-0.011,LOW,74.1,MEDIUM,1
92.6,0,2,-0.048,38,3,82.5,75.3,316.8,85.5,82.9,0.281,LOW,87.1,HIGH,1
93.3,0,2,0.103,49,3,84.8,91.9,374.4,93.3,83.0,0.217,LOW,86.7,HIGH,1
71.2,0,1,-0.437,30,12,70.6,78.8,305.4,74.8,75.3,-0.198,LOW,75.8,MEDIUM,1
92.1,0,5,0.516,48,4,84.9,99.0,404.6,100.0,84.9,0.068,LOW,94.6,HIGH,1
74.2,3,2,-0.713,30,11,61.9,81.4,351.8,80.8,78.1,0.299,MEDIUM,73.4,HIGH,1
77.0,0,1,0.392,45,13,60.9,73.2,310.3,77.9,72.4,-0.438,LOW,74.0,MEDIUM,1
71.5,2,5,-0.197,34,14,61.1,81.6,296.9,83.8,65.5,0.045,MEDIUM,74.4,MEDIUM,1
90.9,0,2,0.098,54,5,52.4,98.8,412.2,90.8,66.2,0.083,LOW,71.4,HIGH,1
47.2,4,2,-0.505,19,21,44.3,56.0,271.0,55.6,47.4,0.245,HIGH,51.9,MEDIUM,1
72.1,0,2,-0.151,37,15,79.5,64.8,339.0,76.5,74.7,0.116,MEDIUM,79.8,MEDIUM,1
91.6,1,4,-0.632,38,3,88.8,70.7,392.6,76.5,85.9,0.085,LOW,87.4,HIGH,1
83.3,0,3,-0.281,45,9,60.9,76.1,305.6,74.5,72.1,-0.058,LOW,78.1,MEDIUM,1
96.6,0,1,0.373,56,2,62.8,78.3,402.6,76.5,70.1,0.08,LOW,74.9,HIGH,1
89.5,0,1,-0.267,49,6,80.0,79.4,453.6,75.9,81.3,0.095,LOW,81.5,HIGH,1
72.6,1,3,-0.28,36,14,77.6,70.4,329.3,73.2,75.2,0.44,LOW,68.4,MEDIUM,1
89.1,0,4,0.068,48,6,70.1,85.4,382.8,100.0,82.2,-0.177,LOW,80.3,HIGH,1
90.9,0,5,-0.599,41,4,73.4,90.1,403.4,81.4,76.7,-0.254,LOW,81.8,HIGH,1
60.1,0,1,-0.355,32,21,74.4,70.4,285.4,68.4,87.3,-0.135,LOW,77.6,MEDIUM,1
71.4,2,4,0.178,32,13,90.8,74.2,320.7,76.6,94.3,-0.071,LOW,83.6,HIGH,1
68.4,0,1,-0.139,40,18,62.1,72.6,264.1,66.1,65.1,0.078,LOW,69.7,HIGH,1
93.0,0,1,-0.211,41,3,88.2,73.3,463.7,86.2,82.2,0.295,LOW,79.7,HIGH,1
96.6,0,3,0.462,48,2,82.8,89.7,403.8,80.3,63.5,0.068,LOW,85.9,HIGH,1
96.4,0,2,0.406,41,2,96.3,85.4,480.4,80.0,82.7,-0.114,LOW,92.3,HIGH,1
65.5,3,2,-0.768,31,17,54.2,46.6,302.2,58.5,51.4,-0.313,HIGH,55.2,MEDIUM,1
84.9,0,0,0.314,41,7,77.7,81.7,455.8,72.3,76.2,0.022,LOW,82.7,HIGH,1
95.7,0,1,0.145,54,2,75.1,81.8,350.1,74.4,81.2,0.349,LOW,80.1,HIGH,1
71.1,1,4,0.253,33,14,69.8,77.5,372.4,60.0,78.5,-0.076,LOW,74.7,HIGH,1
88.3,0,3,-0.085,48,6,89.7,85.4,392.5,81.2,75.9,0.031,LOW,85.5,HIGH,1
63.5,2,5,-0.638,30,18,66.5,81.5,248.1,90.2,64.4,0.298,MEDIUM,75.4,MEDIUM,1
81.6,0,4,0.055,36,8,66.6,69.6,332.0,84.0,59.4,-0.377,LOW,68.3,MEDIUM,1
82.0,0,3,0.213,35,8,86.9,61.5,276.0,58.1,68.7,-0.006,LOW,77.5,MEDIUM,1
78.4,0,2,0.219,46,13,80.3,89.3,294.9,72.2,82.8,0.151,LOW,85.3,MEDIUM,1
85.2,0,2,0.203,49,8,80.5,88.4,410.1,80.8,89.5,-0.061,LOW,81.0,HIGH,1
75.4,1,2,-0.223,36,12,58.3,67.2,322.8,73.3,72.1,0.049,MEDIUM,65.5,HIGH,1
86.3,0,0,0.511,36,6,84.1,74.2,414.6,80.1,89.0,0.106,LOW,80.5,HIGH,1
83.4,0,1,0.458,40,8,68.9,78.5,375.3,77.8,59.7,0.12,LOW,77.9,HIGH,1
43.9,8,3,-0.95,21,27,45.1,60.2,226.4,53.1,49.8,0.405,HIGH,45.4,MEDIUM,-1
77.7,1,3,-0.186,33,10,62.7,66.1,376.7,60.0,66.7,-0.033,LOW,65.3,MEDIUM,1
89.8,0,2,0.179,41,5,86.9,87.9,348.6,79.1,91.8,0.107,LOW,86.2,HIGH,1
86.5,0,0,-0.028,40,6,83.8,80.9,430.5,76.4,64.7,0.02,LOW,75.9,HIGH,1
88.2,1,2,-0.006,41,6,79.3,65.7,381.7,60.2,69.9,0.48,LOW,77.3,MEDIUM,1
87.0,1,2,0.301,35,5,52.6,79.8,348.9,74.2,73.7,0.078,LOW,66.3,MEDIUM,1
73.6,1,1,-0.026,35,13,84.7,79.4,417.8,86.7,82.0,0.168,MEDIUM,82.4,MEDIUM,1
89.3,1,0,0.524,46,5,89.8,74.7,351.1,78.0,94.0,0.172,LOW,89.0,HIGH,1
78.0,0,1,0.289,35,10,67.4,72.8,369.7,77.9,75.0,-0.138,LOW,68.9,HIGH,1
86.2,0,1,0.402,45,7,94.4,80.2,365.3,94.6,84.5,0.123,LOW,83.6,HIGH,1
83.4,0,3,-0.169,37,7,64.9,58.4,412.4,83.6,68.2,0.284,LOW,73.6,HIGH,1
90.3,0,2,-0.085,52,6,81.2,78.7,470.6,73.2,88.0,-0.556,LOW,88.2,HIGH,1
74.0,1,4,-0.273,30,10,73.3,76.6,373.0,77.8,72.4,-0.175,LOW,71.8,HIGH,1
81.2,0,4,0.496,46,11,78.4,77.6,410.6,85.3,73.4,0.411,LOW,75.0,HIGH,1
73.7,0,0,0.964,35,12,55.2,86.7,233.9,72.9,59.8,-0.495,LOW,66.2,MEDIUM,1
94.2,0,4,0.256,44,3,63.3,89.6,354.4,92.2,78.9,0.406,LOW,81.1,HIGH,1
94.5,1,4,0.178,51,3,81.1,78.4,407.9,83.3,86.5,-0.087,LOW,81.3,HIGH,1
70.3,0,3,-0.043,41,17,59.6,70.7,328.9,75.4,58.9,0.074,LOW,62.6,HIGH,1
58.2,4,6,0.235,29,20,68.1,69.7,279.0,68.0,61.0,0.219,MEDIUM,67.8,MEDIUM,1
65.9,2,4,-0.263,36,19,69.5,43.0,299.9,66.2,58.4,0.146,HIGH,57.0,MEDIUM,1
41.7,4,5,-0.444,21,29,71.8,42.9,231.5,42.0,62.2,0.025,HIGH,56.9,LOW,1
90.0,1,4,-0.343,46,5,95.6,80.1,419.8,85.0,94.3,-0.056,LOW,88.8,HIGH,1
43.5,3,4,-0.563,24,31,57.3,77.6,208.7,76.7,76.8,-0.086,MEDIUM,66.4,MEDIUM,1
62.5,1,0,-0.229,34,21,84.1,66.0,254.6,70.7,73.5,-0.372,LOW,82.6,MEDIUM,1
79.4,0,3,-0.45,47,12,77.2,85.9,251.8,87.2,91.7,0.226,LOW,77.7,MEDIUM,1
68.1,0,4,-0.618,29,13,68.6,56.3,343.4,56.0,58.4,0.203,LOW,61.2,MEDIUM,1
74.2,1,3,0.599,36,12,92.6,68.7,378.6,56.3,88.6,-0.183,LOW,79.1,MEDIUM,1
46.7,3,2,-0.001,22,25,47.0,53.6,236.8,54.3,61.0,-0.029,HIGH,49.5,MEDIUM,1
86.4,1,2,0.002,42,7,59.6,81.8,394.1,91.1,61.2,-0.357,LOW,72.9,HIGH,1
72.6,2,3,0.383,38,14,68.5,81.4,271.2,73.6,65.8,0.207,LOW,74.5,MEDIUM,1
67.2,0,3,-0.48,38,19,70.8,68.1,318.8,66.4,72.3,-0.067,MEDIUM,67.8,MEDIUM,1
97.3,0,2,0.334,51,1,91.2,80.0,487.1,79.2,94.4,-0.16,LOW,89.4,HIGH,1
68.4,0,2,-0.359,36,16,55.5,84.4,288.6,71.5,65.4,0.23,MEDIUM,66.4,MEDIUM,1
96.4,0,3,0.691,52,2,81.3,99.0,404.5,90.9,92.6,0.061,LOW,86.5,HIGH,1
66.5,2,2,-0.591,35,17,53.6,65.6,335.7,76.2,64.5,0.191,HIGH,58.1,MEDIUM,1
62.8,1,3,0.209,35,20,63.0,67.4,291.4,78.1,55.7,-0.165,MEDIUM,65.3,MEDIUM,1
91.4,0,3,0.062,43,4,96.8,83.8,351.1,79.3,91.2,-0.388,LOW,97.2,HIGH,1
66.8,0,2,-0.813,39,19,70.2,74.0,316.5,60.9,79.3,-0.163,MEDIUM,71.0,MEDIUM,1
86.5,0,2,0.193,42,7,66.9,81.3,339.9,77.2,66.1,-0.02,LOW,73.2,HIGH,1
90.7,0,0,0.31,46,5,56.7,60.6,312.4,75.4,55.2,0.033,LOW,63.0,HIGH,1
88.5,0,4,0.55,47,6,74.8,84.1,437.7,87.4,86.1,-0.16,LOW,88.9,HIGH,1
71.9,0,1,0.328,32,13,70.7,91.8,344.2,72.6,76.8,-0.131,LOW,77.0,MEDIUM,1
82.0,0,3,-0.179,39,9,76.1,60.7,408.0,92.1,74.9,0.267,LOW,69.1,MEDIUM,1
84.0,0,0,0.411,39,7,61.1,61.8,289.7,70.4,50.9,-0.042,LOW,65.9,MEDIUM,1
45.7,3,3,-0.234,21,24,60.1,47.7,241.4,53.0,62.2,0.538,MEDIUM,54.4,LOW,1
79.7,0,4,-0.374,32,8,53.4,82.2,365.9,83.2,59.6,-0.065,LOW,72.9,HIGH,1
89.9,0,2,0.075,48,5,81.4,62.5,415.7,67.3,64.6,0.05,LOW,74.2,HIGH,1
92.1,0,4,-0.253,41,4,79.2,92.9,448.6,97.7,81.6,0.181,LOW,85.2,HIGH,1
89.2,0,2,0.058,45,6,87.5,69.5,385.9,92.4,87.1,-0.083,LOW,79.4,HIGH,1
79.6,0,3,0.319,45,11,88.0,84.0,385.7,73.6,92.5,-0.525,LOW,82.6,HIGH,1
89.8,0,2,-0.238,39,5,51.9,74.6,360.0,87.3,61.1,0.374,LOW,64.0,HIGH,1
75.1,0,3,0.188,38,12,98.0,66.5,10.0,68.7,72.8,-0.017,LOW,73.8,HIGH,-1
95.6,0,1,0.425,42,2,95.5,88.0,436.2,84.5,81.1,-0.06,LOW,93.6,HIGH,1
89.6,0,1,-0.087,46,5,88.0,86.1,388.9,84.3,90.7,-0.009,LOW,84.4,HIGH,1
76.0,0,3,0.015,32,10,66.5,66.5,371.4,72.0,67.2,0.238,LOW,74.6,MEDIUM,1
77.5,0,0,0.421,37,11,86.9,77.5,400.4,79.9,81.9,0.126,LOW,87.2,MEDIUM,1
81.7,0,2,0.434,37,8,98.0,83.4,10.0,87.0,71.8,-0.267,LOW,81.0,HIGH,-1
83.1,0,1,-0.248,34,7,63.5,58.6,324.5,69.4,69.7,0.021,LOW,65.6,MEDIUM,1
90.3,0,3,-0.212,37,4,79.9,79.9,384.3,82.7,84.7,0.021,LOW,78.8,HIGH,1
96.2,0,0,0.337,49,2,81.7,82.4,351.5,97.6,88.6,-0.179,LOW,86.6,HIGH,1
72.1,1,2,0.031,34,13,81.5,54.0,333.7,58.4,78.1,-0.283,MEDIUM,75.6,MEDIUM,1
77.1,0,0,0.053,32,9,65.4,74.6,341.9,79.1,66.9,-0.208,MEDIUM,76.8,MEDIUM,1
67.1,0,5,-0.777,32,16,70.2,69.6,361.2,60.5,67.4,-0.114,MEDIUM,73.1,MEDIUM,1
68.3,2,2,-0.388,38,17,55.4,79.0,278.2,79.6,63.9,-0.199,MEDIUM,73.1,MEDIUM,1
81.5,0,7,0.051,44,10,91.8,81.3,372.9,78.9,86.9,0.198,LOW,89.6,MEDIUM,1
73.7,1,4,0.317,39,14,78.9,87.2,389.8,76.1,86.9,0.414,LOW,78.4,HIGH,1
74.6,1,1,-0.012,44,15,45.0,77.3,353.6,64.1,57.8,0.06,MEDIUM,67.0,MEDIUM,1
74.5,2,2,0.318,32,11,86.6,63.8,357.5,71.3,78.2,-0.045,LOW,72.3,HIGH,1
71.7,1,6,0.048,31,12,72.8,67.8,364.4,70.4,74.6,-0.279,LOW,76.0,MEDIUM,1
64.8,0,0,0.127,32,18,68.5,79.2,281.2,77.0,76.0,-0.134,LOW,70.3,MEDIUM,1
97.1,0,3,0.096,55,2,98.0,91.9,446.8,82.5,89.1,0.14,LOW,95.3,HIGH,1
72.2,8,3,-0.95,32,12,51.5,79.9,306.3,87.0,60.0,0.3,MEDIUM,62.3,HIGH,-1
80.1,1,2,-0.119,33,8,80.3,84.4,327.7,75.9,74.9,-0.219,LOW,81.4,HIGH,1
86.1,0,4,-0.211,46,8,73.8,81.9,388.2,74.6,72.4,0.293,LOW,81.4,HIGH,1
79.3,0,3,0.194,40,10,63.7,77.2,325.5,83.6,77.4,-0.192,LOW,74.5,MEDIUM,1
92.7,0,4,0.688,52,4,97.5,80.1,497.5,80.3,95.6,0.255,LOW,93.3,HIGH,1
72.8,0,0,0.336,40,15,60.9,83.1,298.9,90.0,73.8,-0.247,LOW,74.2,MEDIUM,1
61.9,1,1,-0.126,33,21,58.8,71.1,225.4,56.6,69.9,0.191,MEDIUM,63.8,MEDIUM,1
80.2,0,2,-0.27,34,8,78.7,56.0,371.2,68.1,54.7,-0.154,LOW,70.1,MEDIUM,1
61.0,0,6,-0.604,36,23,98.0,71.3,10.0,78.9,75.7,0.555,MEDIUM,69.2,MEDIUM,-1
66.9,0,2,0.035,36,18,64.6,79.2,302.7,74.1,71.7,0.097,LOW,73.1,MEDIUM,1
98.0,0,2,0.238,57,1,93.7,75.4,453.3,77.3,80.6,-0.261,LOW,88.1,HIGH,1
84.6,0,1,-0.091,44,8,97.5,72.7,439.3,78.5,77.2,0.007,LOW,83.4,HIGH,1
69.7,1,1,-0.765,38,17,91.1,71.5,347.0,70.8,82.1,0.122,MEDIUM,75.9,MEDIUM,1
91.2,0,1,0.04,47,4,95.5,95.1,525.3,98.2,98.2,-0.04,LOW,94.4,HIGH,1
62.9,1,3,-0.52,35,21,81.3,65.1,319.4,80.2,82.7,0.075,MEDIUM,68.5,MEDIUM,1
88.8,0,2,-0.059,49,6,91.2,76.9,484.1,79.5,76.2,-0.284,LOW,83.8,HIGH,1
78.5,0,2,-0.285,38,10,58.3,80.2,372.2,76.5,69.2,-0.031,MEDIUM,74.0,MEDIUM,1
87.1,0,2,0.342,39,6,83.5,81.2,459.9,79.0,72.8,-0.369,LOW,83.1,HIGH,1
89.3,0,5,-0.083,52,6,84.9,73.5,431.3,82.1,83.3,-0.047,LOW,78.7,HIGH,1
86.8,0,0,0.253,45,7,85.3,79.5,413.1,85.8,77.7,0.528,LOW,84.4,HIGH,1
74.0,0,0,0.216,35,12,98.0,73.8,10.0,76.7,70.9,0.079,LOW,69.3,HIGH,-1
68.6,0,3,-0.425,35,16,76.3,83.5,318.8,65.2,80.8,-0.266,MEDIUM,76.1,MEDIUM,1
77.9,0,3,0.044,37,11,86.3,65.6,336.9,63.9,91.2,-0.066,LOW,76.5,MEDIUM,1
43.8,6,1,0.278,19,24,60.3,60.5,264.9,67.1,62.1,-0.095,HIGH,56.4,MEDIUM,1
77.9,0,3,-0.209,41,11,61.2,80.6,382.2,68.1,71.9,0.456,LOW,70.4,HIGH,1
79.5,0,5,-0.152,33,8,67.7,86.5,359.0,77.6,78.9,-0.253,LOW,76.1,MEDIUM,1
79.8,0,4,-0.53,34,8,79.7,69.9,395.2,90.0,73.5,-0.074,MEDIUM,77.3,MEDIUM,1
74.7,1,1,0.056,33,11,74.1,92.2,397.3,82.7,87.8,-0.245,LOW,87.7,HIGH,1
85.9,0,0,-0.529,49,8,60.8,61.9,333.4,75.0,79.8,0.336,LOW,74.0,MEDIUM,1
60.3,0,3,-0.396,32,21,69.2,52.3,333.7,56.6,63.4,-0.431,LOW,62.2,MEDIUM,1
79.1,0,0,-0.443,32,9,61.4,77.7,391.8,81.1,62.3,-0.231,LOW,73.1,HIGH,1
79.4,0,3,0.318,43,11,62.5,59.4,379.5,78.2,46.9,0.076,LOW,61.5,MEDIUM,1
85.3,8,2,-0.95,40,7,64.2,72.1,420.0,81.2,83.7,0.318,LOW,70.0,HIGH,-1
82.2,0,3,-0.9,45,10,58.3,82.0,395.1,78.9,75.0,0.274,LOW,79.1,HIGH,1
79.9,0,4,-0.19,34,8,49.3,90.3,287.7,80.3,66.0,0.24,LOW,69.3,HIGH,1
73.5,0,5,-0.043,43,16,55.5,75.9,302.2,74.5,70.0,0.083,MEDIUM,69.6,HIGH,1
78.5,0,4,0.258,46,13,76.0,79.1,380.9,81.3,69.2,0.049,LOW,76.3,HIGH,1
96.5,0,1,0.361,42,2,85.8,90.1,424.4,72.6,95.6,0.343,LOW,93.3,HIGH,1
98.1,1,1,0.218,42,1,80.1,68.2,327.8,85.0,78.0,0.35,LOW,88.7,HIGH,1
91.9,0,4,0.191,47,4,77.1,87.5,300.1,93.7,78.4,-0.07,LOW,81.3,HIGH,1
81.0,0,1,0.224,47,11,76.1,76.5,286.7,76.1,77.4,-0.063,LOW,79.6,MEDIUM,1
77.1,0,5,0.294,42,12,65.8,66.7,380.0,67.1,61.4,-0.322,LOW,66.4,HIGH,1
62.4,0,0,-0.247,32,20,57.4,58.5,307.5,56.2,54.5,0.079,MEDIUM,58.2,MEDIUM,1
85.4,0,5,0.035,38,6,80.9,77.6,374.0,64.4,71.0,0.086,LOW,74.6,MEDIUM,1
71.5,1,4,0.155,36,15,84.2,80.3,331.8,75.8,84.0,-0.282,LOW,79.6,MEDIUM,1
56.8,4,1,0.1,33,25,53.1,76.4,304.7,70.5,63.8,0.152,MEDIUM,60.4,MEDIUM,1
79.8,0,2,-0.605,33,8,75.9,74.6,390.0,83.3,63.0,-0.235,LOW,79.1,HIGH,1
97.5,0,3,-0.588,45,1,72.2,94.4,340.9,100.0,68.9,-0.03,LOW,81.9,HIGH,1
61.5,1,4,-0.082,27,17,71.0,56.8,272.5,63.1,74.4,0.297,MEDIUM,65.5,MEDIUM,1
83.3,1,1,-0.169,49,10,98.0,73.0,390.7,86.0,93.4,0.354,LOW,91.2,MEDIUM,1
84.0,8,1,-0.95,42,8,84.0,94.9,365.4,73.6,84.1,-0.245,LOW,89.1,HIGH,-1
80.4,1,2,0.091,46,11,79.9,88.1,358.6,78.6,88.5,-0.133,MEDIUM,88.0,HIGH,1
87.4,0,2,0.749,50,7,83.9,71.3,369.9,86.6,67.9,0.257,LOW,82.6,MEDIUM,1
65.8,0,4,-0.047,30,16,69.7,77.0,286.9,73.3,79.5,0.165,LOW,73.9,MEDIUM,1
75.5,0,1,0.401,37,12,69.3,68.3,358.0,81.5,52.2,0.189,LOW,68.0,MEDIUM,1
81.8,0,0,0.007,48,11,60.1,73.8,357.4,86.0,65.3,-0.697,LOW,69.3,HIGH,1
67.1,2,2,-0.492,36,17,68.6,69.7,241.0,83.4,76.9,-0.272,MEDIUM,70.7,MEDIUM,1
68.2,0,2,-0.504,40,19,68.1,57.4,296.3,71.2,68.7,0.15,MEDIUM,62.5,MEDIUM,1
79.2,0,5,0.468,47,12,73.1,78.7,281.9,77.0,83.7,0.4,LOW,76.1,MEDIUM,1
73.7,2,0,0.257,37,13,74.6,86.9,408.0,86.3,77.4,-0.135,LOW,79.8,HIGH,1
77.6,1,1,0.123,32,9,80.5,73.4,364.0,67.5,77.9,0.016,LOW,71.8,HIGH,1
92.0,0,2,0.613,48,4,86.0,75.9,393.8,99.2,91.0,-0.259,LOW,80.1,HIGH,1
85.8,0,1,0.058,45,7,74.7,72.8,393.5,74.6,82.0,0.413,LOW,70.1,HIGH,1
72.9,1,3,-0.131,35,13,76.4,51.0,390.4,64.4,66.3,-0.243,LOW,62.5,MEDIUM,1
82.3,0,1,-0.003,46,10,66.6,52.8,279.7,71.5,66.6,0.237,LOW,65.4,MEDIUM,1
60.4,3,3,0.072,33,21,45.8,85.8,236.2,78.9,56.4,-0.227,MEDIUM,61.4,MEDIUM,1
51.6,3,1,-0.661,28,27,54.5,58.8,260.9,69.1,67.0,-0.567,HIGH,54.3,MEDIUM,1
77.9,0,4,0.086,38,11,74.0,65.9,308.4,66.3,71.9,0.113,LOW,68.9,HIGH,1
83.9,1,2,0.583,49,10,56.2,68.9,317.0,66.7,65.0,-0.004,LOW,62.9,MEDIUM,1
90.1,0,0,0.222,46,5,81.2,79.9,325.3,76.2,79.1,0.167,LOW,82.9,HIGH,1
90.5,1,1,0.041,40,4,82.4,78.3,363.2,84.0,58.2,0.071,LOW,78.3,HIGH,1
90.4,0,2,0.678,53,6,90.1,84.6,378.5,90.4,80.8,-0.24,LOW,88.0,HIGH,1
89.8,0,2,0.205,50,6,84.2,67.5,465.7,82.8,68.2,-0.046,LOW,77.5,HIGH,1
75.0,0,3,-0.383,37,12,98.0,78.2,10.0,79.0,67.5,0.306,MEDIUM,66.9,HIGH,-1
